timestamp,heart_rate,RR_intervals
1662537395000,86.0,
1662537397000,89.0,3.0
1662537400000,86.0,-3.0
1662537402000,83.0,-3.0
1662537404000,80.0,-3.0
1662537406000,77.0,-3.0
1662537409000,73.0,-4.0
1662537410000,69.0,-4.0
1662537411000,66.0,-3.0
1662537414000,70.0,4.0
1662537422000,75.0,5.0
1662537426000,71.0,-4.0
1662537427000,68.0,-3.0
1662537428000,68.0,0.0
1662537443000,71.0,3.0
1662537455000,78.0,7.0
1662537459000,81.0,3.0
1662537461000,84.0,3.0
1662537471000,81.0,-3.0
1662537474000,84.0,3.0
1662537481000,87.0,3.0
1662537485000,83.0,-4.0
1662537488000,80.0,-3.0
1662537494000,83.0,3.0
1662537497000,78.0,-5.0
1662537504000,73.0,-5.0
1662537510000,76.0,3.0
1662537522000,73.0,-3.0
1662537538000,78.0,5.0
1662537539000,85.0,7.0
1662537540000,84.0,-1.0
1662537569000,77.0,-7.0
1662537570000,74.0,-3.0
1662537578000,77.0,3.0
1662537595000,74.0,-3.0
1662537609000,71.0,-3.0
1662537621000,75.0,4.0
1662537624000,78.0,3.0
1662537631000,82.0,4.0
1662537632000,86.0,4.0
1662537633000,86.0,0.0
1662537639000,82.0,-4.0
1662537641000,79.0,-3.0
1662537645000,85.0,6.0
1662537647000,90.0,5.0
1662537649000,93.0,3.0
1662537659000,90.0,-3.0
1662537661000,83.0,-7.0
1662537663000,79.0,-4.0
1662537664000,75.0,-4.0
1662537666000,72.0,-3.0
1662537669000,75.0,3.0
1662537673000,72.0,-3.0
1662537681000,77.0,5.0
1662537682000,77.0,0.0
1662537685000,80.0,3.0
1662537687000,77.0,-3.0
1662537690000,74.0,-3.0
1662537695000,78.0,4.0
1662537696000,81.0,3.0
1662537699000,77.0,-4.0
1662537701000,74.0,-3.0
1662537706000,71.0,-3.0
1662537714000,75.0,4.0
1662537716000,81.0,6.0
1662537718000,77.0,-4.0
1662537721000,74.0,-3.0
1662537733000,71.0,-3.0
1662537760000,75.0,4.0
1662537764000,81.0,6.0
1662537766000,85.0,4.0
1662537767000,90.0,5.0
1662537769000,95.0,5.0
1662537770000,95.0,0.0
