timestamp,heart_rate,RR_intervals
1662387404000,69,
1662387412000,74,5.0
1662387413000,80,6.0
1662387414000,78,-2.0
1662387423000,75,-3.0
1662387425000,72,-3.0
1662387436000,76,4.0
1662387439000,80,4.0
1662387443000,75,-5.0
1662387445000,72,-3.0
1662387448000,78,6.0
1662387450000,81,3.0
1662387455000,78,-3.0
1662387457000,75,-3.0
1662387458000,72,-3.0
1662387469000,75,3.0
1662387474000,80,5.0
1662387479000,77,-3.0
1662387480000,73,-4.0
1662387482000,70,-3.0
1662387484000,77,7.0
1662387486000,80,3.0
1662387488000,89,9.0
1662387490000,94,5.0
1662387491000,94,0.0
1662387494000,89,-5.0
1662387495000,85,-4.0
1662387496000,82,-3.0
1662387497000,79,-3.0
1662387498000,76,-3.0
1662387499000,73,-3.0
1662387500000,73,0.0
1662387508000,70,-3.0
1662387512000,74,4.0
1662387513000,77,3.0
1662387514000,77,0.0
1662387517000,71,-6.0
1662387519000,67,-4.0
1662387523000,70,3.0
1662387531000,67,-3.0
1662387534000,64,-3.0
1662387547000,71,7.0
1662387549000,75,4.0
1662387550000,72,-3.0
1662387553000,69,-3.0
1662387555000,64,-5.0
1662387574000,61,-3.0
1662387578000,58,-3.0
1662387584000,62,4.0
1662387590000,68,6.0
1662387591000,71,3.0
1662387597000,64,-7.0
1662387598000,64,0.0
1662387600000,60,-4.0
1662387604000,63,3.0
1662387608000,60,-3.0
1662387621000,63,3.0
1662387622000,67,4.0
1662387631000,64,-3.0
1662387634000,69,5.0
1662387636000,77,8.0
1662387637000,80,3.0
1662387640000,86,6.0
1662387641000,89,3.0
1662387642000,89,0.0
1662387643000,88,-1.0
1662387645000,82,-6.0
1662387646000,79,-3.0
1662387647000,76,-3.0
1662387649000,73,-3.0
1662387652000,76,3.0
1662387659000,73,-3.0
1662387661000,70,-3.0
1662387668000,73,3.0
1662387679000,76,3.0
1662387682000,73,-3.0
1662387684000,70,-3.0
1662387685000,74,4.0
1662387686000,77,3.0
1662387691000,74,-3.0
1662387695000,78,4.0
1662387697000,81,3.0
1662387701000,78,-3.0
1662387710000,75,-3.0
1662387713000,72,-3.0
1662387716000,69,-3.0
1662387727000,72,3.0
1662387739000,76,4.0
1662387741000,79,3.0
1662387744000,75,-4.0
1662387745000,78,3.0
1662387746000,81,3.0
1662387747000,84,3.0
1662387749000,87,3.0
1662387751000,91,4.0
1662387755000,87,-4.0
1662387757000,83,-4.0
1662387760000,80,-3.0
1662387762000,77,-3.0
1662387765000,73,-4.0
1662387768000,67,-6.0
1662387770000,63,-4.0
1662387776000,67,4.0
1662387780000,64,-3.0
1662387783000,67,3.0
1662387792000,64,-3.0
1662387797000,61,-3.0
1662387801000,64,3.0
1662387818000,67,3.0
1662387822000,74,7.0
1662387823000,80,6.0
1662387824000,85,5.0
1662387826000,88,3.0
1662387829000,85,-3.0
1662387831000,79,-6.0
1662387832000,74,-5.0
1662387834000,70,-4.0
1662387840000,67,-3.0
1662387842000,64,-3.0
1662387848000,67,3.0
1662387850000,70,3.0
1662387854000,74,4.0
1662387858000,77,3.0
1662387861000,81,4.0
1662387866000,77,-4.0
1662387870000,81,4.0
1662387872000,84,3.0
1662387875000,80,-4.0
1662387878000,77,-3.0
1662387881000,74,-3.0
1662387890000,71,-3.0
1662387894000,75,4.0
1662387899000,78,3.0
1662387912000,81,3.0
1662387916000,77,-4.0
1662387918000,80,3.0
1662387920000,84,4.0
1662387921000,88,4.0
1662387923000,93,5.0
1662387927000,90,-3.0
1662387929000,85,-5.0
1662387932000,82,-3.0
1662387934000,78,-4.0
1662387937000,75,-3.0
1662387939000,72,-3.0
1662387942000,69,-3.0
1662387943000,66,-3.0
1662387951000,63,-3.0
1662387958000,66,3.0
1662387964000,72,6.0
1662387969000,68,-4.0
1662387978000,65,-3.0
1662387980000,62,-3.0
1662387982000,65,3.0
1662387983000,68,3.0
1662387984000,72,4.0
1662387985000,72,0.0
1662387991000,69,-3.0
1662387995000,65,-4.0
1662388018000,70,5.0
1662388024000,66,-4.0
1662388033000,63,-3.0
1662388038000,66,3.0
1662388047000,63,-3.0
1662388053000,67,4.0
1662388060000,64,-3.0
1662388080000,67,3.0
1662388089000,75,8.0
1662388090000,72,-3.0
1662388092000,69,-3.0
1662388094000,66,-3.0
1662388100000,69,3.0
1662388104000,66,-3.0
1662388111000,70,4.0
1662388114000,67,-3.0
1662388121000,71,4.0
1662388126000,68,-3.0
1662388132000,71,3.0
1662388137000,68,-3.0
1662388166000,71,3.0
1662388179000,68,-3.0
1662388182000,72,4.0
1662388187000,69,-3.0
1662388195000,74,5.0
1662388197000,78,4.0
1662388207000,75,-3.0
1662388213000,72,-3.0
1662388217000,76,4.0
1662388220000,73,-3.0
1662388226000,70,-3.0
1662388233000,67,-3.0
1662388241000,64,-3.0
1662388245000,67,3.0
1662388260000,64,-3.0
1662388264000,69,5.0
1662388287000,73,4.0
1662388293000,70,-3.0
1662388311000,73,3.0
1662388314000,70,-3.0
1662388317000,67,-3.0
1662388320000,70,3.0
1662388324000,66,-4.0
1662388330000,69,3.0
1662388337000,72,3.0
1662388343000,69,-3.0
1662388351000,66,-3.0
1662388369000,70,4.0
1662388378000,73,3.0
1662388380000,70,-3.0
1662388389000,66,-4.0
1662388404000,69,3.0
1662388407000,77,8.0
1662388409000,80,3.0
1662388412000,76,-4.0
1662388413000,73,-3.0
1662388414000,73,0.0
1662388425000,70,-3.0
1662388428000,74,4.0
1662388433000,71,-3.0
1662388435000,67,-4.0
1662388446000,64,-3.0
1662388450000,67,3.0
1662388452000,70,3.0
1662388453000,67,-3.0
1662388456000,73,6.0
1662388457000,72,-1.0
1662388463000,69,-3.0
1662388465000,63,-6.0
1662388477000,66,3.0
1662388487000,69,3.0
1662388502000,73,4.0
1662388503000,76,3.0
1662388504000,76,0.0
1662388507000,73,-3.0
1662388514000,76,3.0
1662388515000,79,3.0
1662388516000,79,0.0
1662388519000,82,3.0
1662388524000,88,6.0
1662388533000,94,6.0
1662388534000,94,0.0
1662388549000,71,-23.0
1662388550000,71,0.0
1662388611000,71,0.0
