timestamp,heart_rate,RR_intervals
1662729302000,109,
1662729303000,108,-1.0
1662729309000,111,3.0
1662729313000,102,-9.0
1662729314000,99,-3.0
1662729324000,103,4.0
1662729329000,99,-4.0
1662729330000,99,0.0
1662729334000,104,5.0
1662729349000,107,3.0
1662729366000,104,-3.0
1662729381000,107,3.0
1662729392000,104,-3.0
1662729408000,107,3.0
1662729415000,104,-3.0
1662729422000,101,-3.0
1662729423000,101,0.0
1662729425000,105,4.0
1662729431000,102,-3.0
1662729462000,105,3.0
1662729467000,108,3.0
1662729474000,107,-1.0
1662729477000,110,3.0
1662729481000,106,-4.0
1662729498000,103,-3.0
1662729502000,106,3.0
1662729519000,103,-3.0
1662729522000,107,4.0
1662729526000,110,3.0
1662729530000,105,-5.0
1662729535000,108,3.0
1662729539000,105,-3.0
1662729540000,101,-4.0
1662729542000,96,-5.0
1662729543000,101,5.0
1662729568000,104,3.0
1662729571000,107,3.0
1662729581000,110,3.0
1662729589000,107,-3.0
1662729591000,104,-3.0
1662729593000,100,-4.0
1662729607000,97,-3.0
1662729609000,92,-5.0
1662729616000,95,3.0
1662729618000,92,-3.0
1662729619000,87,-5.0
1662729620000,87,0.0
1662729622000,96,9.0
1662729634000,93,-3.0
1662729641000,97,4.0
1662729642000,94,-3.0
1662729649000,101,7.0
1662729651000,107,6.0
1662729652000,110,3.0
1662729654000,115,5.0
1662729655000,115,0.0
1662729657000,118,3.0
1662729660000,121,3.0
1662729665000,122,1.0
1662729667000,118,-4.0
1662729669000,114,-4.0
1662729677000,111,-3.0
1662729696000,106,-5.0
1662729697000,106,0.0
1662729703000,109,3.0
1662729704000,112,3.0
1662729706000,116,4.0
1662729713000,112,-4.0
1662729715000,109,-3.0
1662729722000,106,-3.0
1662729732000,101,-5.0
1662729733000,101,0.0
1662729735000,105,4.0
1662729745000,98,-7.0
1662729746000,98,0.0
1662729756000,101,3.0
1662729759000,96,-5.0
1662729766000,99,3.0
1662729767000,102,3.0
1662729772000,98,-4.0
1662729775000,101,3.0
1662729778000,104,3.0
1662729780000,108,4.0
1662729781000,112,4.0
1662729786000,108,-4.0
1662729791000,101,-7.0
1662729795000,97,-4.0
1662729798000,94,-3.0
1662729799000,98,4.0
1662729805000,102,4.0
1662729812000,98,-4.0
1662729817000,95,-3.0
1662729823000,92,-3.0
1662729826000,95,3.0
1662729828000,98,3.0
1662729830000,94,-4.0
1662729835000,97,3.0
1662729841000,102,5.0
1662729843000,107,5.0
1662729846000,110,3.0
1662729848000,113,3.0
1662729850000,116,3.0
1662729853000,119,3.0
1662729857000,117,-2.0
1662729865000,114,-3.0
1662729874000,110,-4.0
1662729879000,107,-3.0
1662729882000,104,-3.0
1662729891000,101,-3.0
1662729895000,104,3.0
1662729898000,107,3.0
1662729902000,104,-3.0
1662729904000,101,-3.0
1662729908000,105,4.0
1662729920000,108,3.0
1662729925000,111,3.0
1662729928000,108,-3.0
1662729944000,104,-4.0
1662729961000,101,-3.0
1662729968000,105,4.0
1662729970000,108,3.0
1662729971000,111,3.0
1662729974000,114,3.0
1662729985000,110,-4.0
1662729988000,106,-4.0
1662729991000,103,-3.0
1662729997000,106,3.0
1662729999000,101,-5.0
1662730000000,98,-3.0
1662730002000,94,-4.0
1662730010000,89,-5.0
1662730013000,92,3.0
1662730018000,96,4.0
1662730022000,100,4.0
1662730024000,95,-5.0
1662730029000,91,-4.0
1662730041000,88,-3.0
1662730044000,94,6.0
1662730045000,97,3.0
1662730046000,97,0.0
1662730048000,93,-4.0
1662730061000,96,3.0
1662730062000,96,0.0
1662730072000,92,-4.0
1662730080000,88,-4.0
1662730087000,91,3.0
1662730109000,94,3.0
1662730116000,97,3.0
1662730120000,91,-6.0
1662730126000,96,5.0
1662730127000,93,-3.0
1662730128000,87,-6.0
1662730129000,84,-3.0
1662730130000,88,4.0
1662730132000,91,3.0
1662730166000,94,3.0
1662730175000,97,3.0
1662730180000,93,-4.0
1662730183000,97,4.0
1662730185000,100,3.0
1662730190000,97,-3.0
1662730193000,94,-3.0
1662730199000,91,-3.0
1662730215000,95,4.0
1662730219000,92,-3.0
1662730221000,95,3.0
1662730230000,100,5.0
1662730232000,104,4.0
1662730234000,107,3.0
1662730238000,110,3.0
1662730243000,107,-3.0
1662730245000,104,-3.0
1662730246000,101,-3.0
1662730251000,105,4.0
1662730263000,108,3.0
1662730269000,111,3.0
1662730277000,114,3.0
1662730293000,119,5.0
1662730299000,122,3.0
1662730301000,125,3.0
1662730302000,128,3.0
1662730303000,133,5.0
1662730305000,136,3.0
1662730308000,140,4.0
1662730310000,146,6.0
1662730311000,146,0.0
1662730317000,150,4.0
1662730320000,153,3.0
1662730326000,157,4.0
1662730331000,161,4.0
1662730336000,164,3.0
1662730339000,167,3.0
1662730347000,171,4.0
1662730349000,174,3.0
1662730377000,177,3.0
1662730382000,177,0.0
