timestamp,heart_rate,RR_intervals
1662475927000,72.0,
1662475929000,69.0,-3.0
1662475931000,66.0,-3.0
1662475951000,71.0,5.0
1662475959000,66.0,-5.0
1662475961000,63.0,-3.0
1662475970000,66.0,3.0
1662475974000,63.0,-3.0
1662475977000,67.0,4.0
1662475984000,64.0,-3.0
1662475988000,69.0,5.0
1662475989000,69.0,0.0
1662476007000,72.0,3.0
1662476011000,68.0,-4.0
1662476013000,71.0,3.0
1662476019000,67.0,-4.0
1662476022000,70.0,3.0
1662476024000,73.0,3.0
1662476027000,76.0,3.0
1662476029000,73.0,-3.0
1662476033000,76.0,3.0
1662476037000,73.0,-3.0
1662476044000,70.0,-3.0
1662476070000,73.0,3.0
1662476075000,70.0,-3.0
1662476080000,73.0,3.0
1662476083000,77.0,4.0
1662476086000,74.0,-3.0
1662476091000,70.0,-4.0
1662476100000,75.0,5.0
1662476103000,78.0,3.0
1662476105000,75.0,-3.0
1662476109000,72.0,-3.0
1662476111000,69.0,-3.0
1662476112000,66.0,-3.0
1662476114000,63.0,-3.0
1662476127000,68.0,5.0
1662476129000,75.0,7.0
1662476131000,72.0,-3.0
1662476133000,67.0,-5.0
1662476134000,67.0,0.0
1662476138000,70.0,3.0
1662476140000,73.0,3.0
1662476145000,70.0,-3.0
1662476147000,73.0,3.0
1662476149000,70.0,-3.0
1662476167000,76.0,6.0
1662476169000,81.0,5.0
1662476170000,81.0,0.0
1662476173000,77.0,-4.0
1662476176000,80.0,3.0
1662476178000,77.0,-3.0
1662476182000,80.0,3.0
1662476186000,76.0,-4.0
1662476188000,72.0,-4.0
1662476198000,67.0,-5.0
1662476199000,67.0,0.0
1662476204000,72.0,5.0
1662476205000,72.0,0.0
1662476209000,69.0,-3.0
1662476212000,66.0,-3.0
1662476228000,62.0,-4.0
1662476237000,69.0,7.0
1662476246000,72.0,3.0
1662476248000,75.0,3.0
1662476249000,78.0,3.0
1662476250000,81.0,3.0
1662476252000,83.0,2.0
1662476253000,80.0,-3.0
1662476254000,76.0,-4.0
1662476255000,76.0,0.0
1662476259000,71.0,-5.0
1662476262000,75.0,4.0
1662476270000,78.0,3.0
1662476279000,82.0,4.0
1662476280000,89.0,7.0
1662476284000,85.0,-4.0
1662476286000,81.0,-4.0
1662476288000,76.0,-5.0
1662476292000,80.0,4.0
1662476296000,76.0,-4.0
1662476298000,73.0,-3.0
1662476300000,69.0,-4.0
1662476307000,72.0,3.0
1662476317000,69.0,-3.0
1662476330000,65.0,-4.0
1662476334000,68.0,3.0
1662476338000,72.0,4.0
1662476339000,76.0,4.0
1662476345000,73.0,-3.0
1662476351000,79.0,6.0
1662476352000,78.0,-1.0
1662476364000,81.0,3.0
1662476367000,86.0,5.0
1662476369000,90.0,4.0
1662476373000,86.0,-4.0
1662476376000,80.0,-6.0
1662476377000,76.0,-4.0
1662476384000,73.0,-3.0
1662476388000,69.0,-4.0
1662476394000,72.0,3.0
1662476397000,68.0,-4.0
1662476417000,65.0,-3.0
1662476422000,70.0,5.0
1662476428000,67.0,-3.0
1662476435000,70.0,3.0
1662476443000,66.0,-4.0
1662476452000,69.0,3.0
1662476459000,66.0,-3.0
1662476463000,70.0,4.0
1662476467000,77.0,7.0
1662476468000,80.0,3.0
1662476482000,76.0,-4.0
1662476484000,73.0,-3.0
1662476485000,70.0,-3.0
1662476486000,67.0,-3.0
1662476487000,67.0,0.0
1662476489000,64.0,-3.0
1662476493000,61.0,-3.0
1662476496000,66.0,5.0
1662476497000,69.0,3.0
1662476498000,69.0,0.0
1662476500000,65.0,-4.0
1662476502000,62.0,-3.0
1662476515000,66.0,4.0
1662476516000,69.0,3.0
1662476518000,66.0,-3.0
1662476520000,63.0,-3.0
1662476528000,66.0,3.0
1662476539000,69.0,3.0
1662476542000,66.0,-3.0
1662476546000,70.0,4.0
1662476547000,67.0,-3.0
1662476560000,64.0,-3.0
1662476565000,67.0,3.0
1662476567000,71.0,4.0
1662476568000,74.0,3.0
1662476570000,77.0,3.0
1662476572000,74.0,-3.0
1662476573000,78.0,4.0
1662476574000,82.0,4.0
1662476575000,85.0,3.0
1662476580000,91.0,6.0
1662476581000,91.0,0.0
1662476583000,88.0,-3.0
1662476585000,85.0,-3.0
1662476587000,80.0,-5.0
1662476588000,83.0,3.0
1662476591000,78.0,-5.0
1662476598000,71.0,-7.0
1662476600000,67.0,-4.0
1662476618000,74.0,7.0
1662476619000,71.0,-3.0
1662476620000,68.0,-3.0
1662476622000,65.0,-3.0
1662476632000,68.0,3.0
1662476636000,72.0,4.0
1662476646000,69.0,-3.0
1662476647000,65.0,-4.0
1662476648000,65.0,0.0
1662476649000,62.0,-3.0
1662476661000,67.0,5.0
1662476663000,71.0,4.0
1662476664000,75.0,4.0
1662476665000,78.0,3.0
1662476666000,79.0,1.0
1662476667000,84.0,5.0
1662476669000,80.0,-4.0
1662476672000,77.0,-3.0
1662476677000,72.0,-5.0
1662476690000,69.0,-3.0
1662476692000,66.0,-3.0
1662476696000,63.0,-3.0
1662476708000,60.0,-3.0
1662476714000,63.0,3.0
1662476744000,66.0,3.0
1662476749000,69.0,3.0
1662476752000,65.0,-4.0
1662476753000,62.0,-3.0
1662476754000,62.0,0.0
1662476759000,59.0,-3.0
1662476764000,62.0,3.0
1662476765000,59.0,-3.0
1662476793000,63.0,4.0
1662476800000,67.0,4.0
1662476813000,64.0,-3.0
1662476817000,70.0,6.0
1662476818000,73.0,3.0
1662476819000,73.0,0.0
1662476821000,76.0,3.0
1662476824000,73.0,-3.0
1662476826000,70.0,-3.0
1662476828000,67.0,-3.0
1662476830000,64.0,-3.0
1662476843000,70.0,6.0
1662476844000,70.0,0.0
1662476849000,67.0,-3.0
1662476852000,64.0,-3.0
1662476868000,61.0,-3.0
1662476873000,65.0,4.0
1662476875000,68.0,3.0
1662476876000,72.0,4.0
1662476878000,75.0,3.0
1662476879000,78.0,3.0
1662476882000,75.0,-3.0
1662476885000,69.0,-6.0
1662476886000,65.0,-4.0
1662476888000,62.0,-3.0
1662476915000,66.0,4.0
1662476922000,63.0,-3.0
1662476924000,69.0,6.0
1662476929000,64.0,-5.0
1662476931000,61.0,-3.0
1662476934000,64.0,3.0
1662476965000,68.0,4.0
1662476968000,65.0,-3.0
1662476973000,68.0,3.0
1662476975000,71.0,3.0
1662476976000,77.0,6.0
1662476977000,80.0,3.0
1662476978000,83.0,3.0
1662476979000,83.0,0.0
1662476981000,77.0,-6.0
1662476982000,77.0,0.0
1662476983000,73.0,-4.0
1662476984000,70.0,-3.0
1662476995000,66.0,-4.0
1662477004000,63.0,-3.0
1662477008000,66.0,3.0
1662477020000,70.0,4.0
1662477021000,75.0,5.0
1662477022000,78.0,3.0
1662477023000,82.0,4.0
1662477024000,82.0,0.0
1662477027000,79.0,-3.0
1662477029000,76.0,-3.0
1662477030000,72.0,-4.0
1662477032000,68.0,-4.0
1662477034000,65.0,-3.0
1662477044000,62.0,-3.0
1662477050000,65.0,3.0
1662477054000,62.0,-3.0
1662477060000,65.0,3.0
1662477061000,68.0,3.0
1662477062000,72.0,4.0
1662477063000,75.0,3.0
1662477064000,78.0,3.0
1662477072000,75.0,-3.0
1662477091000,69.0,-6.0
1662477098000,65.0,-4.0
1662477099000,59.0,-6.0
1662477126000,62.0,3.0
