timestamp,heart_rate,RR_intervals
1662554176000,99,
1662554191000,95,-4.0
1662554200000,98,3.0
1662554207000,95,-3.0
1662554220000,98,3.0
1662554228000,93,-5.0
1662554232000,97,4.0
1662554244000,100,3.0
1662554257000,96,-4.0
1662554263000,93,-3.0
1662554268000,96,3.0
1662554270000,99,3.0
1662554276000,96,-3.0
1662554281000,93,-3.0
1662554294000,96,3.0
1662554302000,99,3.0
1662554305000,96,-3.0
1662554308000,92,-4.0
1662554318000,95,3.0
1662554320000,98,3.0
1662554330000,95,-3.0
1662554332000,91,-4.0
1662554334000,88,-3.0
1662554337000,92,4.0
1662554339000,95,3.0
1662554350000,92,-3.0
1662554354000,95,3.0
1662554358000,91,-4.0
1662554366000,94,3.0
1662554382000,91,-3.0
1662554384000,88,-3.0
1662554388000,91,3.0
1662554391000,94,3.0
1662554404000,91,-3.0
1662554415000,94,3.0
1662554425000,97,3.0
1662554430000,93,-4.0
1662554435000,96,3.0
1662554444000,100,4.0
1662554449000,94,-6.0
1662554451000,91,-3.0
1662554457000,96,5.0
1662554461000,99,3.0
1662554464000,94,-5.0
1662554475000,94,0.0
1662554484000,91,-3.0
1662554490000,95,4.0
1662554513000,92,-3.0
1662554523000,89,-3.0
1662554526000,93,4.0
1662554527000,96,3.0
1662554529000,101,5.0
1662554531000,98,-3.0
1662554532000,93,-5.0
1662554533000,93,0.0
1662554535000,90,-3.0
1662554543000,93,3.0
1662554549000,96,3.0
1662554554000,99,3.0
1662554564000,96,-3.0
1662554565000,93,-3.0
1662554569000,96,3.0
1662554571000,100,4.0
1662554573000,97,-3.0
1662554575000,92,-5.0
1662554580000,95,3.0
1662554586000,91,-4.0
1662554594000,88,-3.0
1662554598000,84,-4.0
1662554603000,87,3.0
1662554606000,90,3.0
1662554612000,93,3.0
1662554626000,96,3.0
1662554628000,92,-4.0
1662554631000,89,-3.0
1662554639000,92,3.0
1662554641000,95,3.0
1662554650000,98,3.0
1662554652000,94,-4.0
1662554654000,91,-3.0
1662554656000,88,-3.0
1662554658000,85,-3.0
1662554665000,81,-4.0
1662554670000,85,4.0
1662554676000,82,-3.0
1662554688000,85,3.0
1662554694000,82,-3.0
1662554697000,85,3.0
1662554699000,82,-3.0
1662554702000,85,3.0
1662554710000,82,-3.0
1662554722000,85,3.0
1662554725000,88,3.0
1662554729000,92,4.0
1662554733000,89,-3.0
1662554736000,83,-6.0
1662554737000,83,0.0
1662554740000,86,3.0
1662554749000,83,-3.0
1662554769000,86,3.0
1662554781000,89,3.0
1662554783000,92,3.0
