timestamp,heart_rate,RR_intervals
1662646207000,93,
1662646208000,93,0.0
1662646215000,99,6.0
1662646216000,99,0.0
1662646218000,95,-4.0
1662646220000,90,-5.0
1662646221000,90,0.0
1662646225000,93,3.0
1662646232000,89,-4.0
1662646235000,92,3.0
1662646237000,95,3.0
1662646239000,98,3.0
1662646242000,101,3.0
1662646246000,97,-4.0
1662646254000,100,3.0
1662646257000,97,-3.0
1662646259000,94,-3.0
1662646262000,98,4.0
1662646264000,101,3.0
1662646269000,98,-3.0
1662646271000,95,-3.0
1662646273000,92,-3.0
1662646275000,95,3.0
1662646277000,99,4.0
1662646280000,96,-3.0
1662646282000,93,-3.0
1662646288000,97,4.0
1662646293000,94,-3.0
1662646298000,91,-3.0
1662646300000,88,-3.0
1662646308000,91,3.0
1662646310000,95,4.0
1662646320000,98,3.0
1662646323000,95,-3.0
1662646324000,92,-3.0
1662646325000,89,-3.0
1662646326000,86,-3.0
1662646330000,95,9.0
1662646332000,98,3.0
1662646335000,93,-5.0
1662646336000,89,-4.0
1662646337000,85,-4.0
1662646338000,85,0.0
1662646339000,88,3.0
1662646342000,91,3.0
1662646346000,94,3.0
1662646349000,91,-3.0
1662646356000,94,3.0
1662646362000,89,-5.0
1662646363000,85,-4.0
1662646364000,85,0.0
1662646370000,95,10.0
1662646375000,90,-5.0
1662646376000,87,-3.0
1662646380000,90,3.0
1662646382000,94,4.0
1662646385000,98,4.0
1662646387000,101,3.0
1662646390000,97,-4.0
1662646396000,100,3.0
1662646399000,97,-3.0
1662646404000,100,3.0
1662646410000,97,-3.0
1662646423000,100,3.0
1662646430000,100,0.0
1662646433000,95,-5.0
1662646435000,91,-4.0
1662646439000,95,4.0
1662646445000,92,-3.0
1662646446000,87,-5.0
1662646448000,84,-3.0
1662646452000,88,4.0
1662646453000,91,3.0
1662646455000,94,3.0
1662646457000,91,-3.0
1662646458000,88,-3.0
1662646459000,85,-3.0
1662646463000,89,4.0
1662646467000,93,4.0
1662646479000,90,-3.0
1662646481000,87,-3.0
1662646485000,90,3.0
1662646489000,93,3.0
1662646494000,96,3.0
1662646498000,99,3.0
1662646509000,95,-4.0
1662646510000,91,-4.0
1662646513000,88,-3.0
1662646516000,92,4.0
1662646520000,89,-3.0
1662646523000,94,5.0
1662646532000,97,3.0
1662646536000,100,3.0
1662646541000,94,-6.0
1662646543000,89,-5.0
1662646544000,86,-3.0
1662646548000,83,-3.0
1662646556000,86,3.0
1662646564000,81,-5.0
1662646565000,78,-3.0
1662646566000,75,-3.0
1662646567000,78,3.0
1662646572000,73,-5.0
1662646576000,77,4.0
1662646578000,83,6.0
1662646582000,79,-4.0
1662646602000,76,-3.0
1662646603000,73,-3.0
1662646605000,76,3.0
1662646610000,72,-4.0
1662646618000,75,3.0
1662646627000,78,3.0
1662646629000,75,-3.0
1662646649000,78,3.0
1662646652000,74,-4.0
1662646656000,79,5.0
1662646662000,82,3.0
1662646665000,85,3.0
1662646666000,90,5.0
1662646668000,94,4.0
1662646673000,101,7.0
1662646674000,101,0.0
1662646677000,95,-6.0
1662646683000,99,4.0
1662646685000,96,-3.0
1662646696000,92,-4.0
1662646698000,89,-3.0
1662646705000,92,3.0
1662646722000,95,3.0
1662646731000,100,5.0
1662646736000,94,-6.0
1662646737000,89,-5.0
1662646738000,89,0.0
1662646740000,92,3.0
1662646742000,96,4.0
1662646749000,91,-5.0
1662646750000,88,-3.0
1662646756000,91,3.0
1662646759000,95,4.0
1662646762000,92,-3.0
1662646764000,89,-3.0
1662646768000,93,4.0
1662646769000,96,3.0
1662646771000,99,3.0
1662646778000,95,-4.0
1662646782000,92,-3.0
1662646783000,88,-4.0
1662646785000,84,-4.0
1662646792000,87,3.0
1662646794000,84,-3.0
1662646801000,76,-8.0
1662646808000,79,3.0
1662646816000,76,-3.0
1662646817000,73,-3.0
1662646820000,70,-3.0
1662646822000,66,-4.0
1662646825000,71,5.0
1662646835000,75,4.0
1662646838000,72,-3.0
1662646843000,76,4.0
1662646857000,72,-4.0
1662646858000,72,0.0
1662646872000,75,3.0
1662646883000,80,5.0
1662646885000,85,5.0
1662646887000,89,4.0
1662646888000,94,5.0
1662646889000,97,3.0
1662646892000,93,-4.0
1662646895000,89,-4.0
1662646900000,94,5.0
1662646902000,97,3.0
1662646903000,94,-3.0
1662646907000,90,-4.0
1662646912000,93,3.0
1662646916000,90,-3.0
1662646918000,93,3.0
1662646921000,96,3.0
1662646933000,92,-4.0
1662646938000,96,4.0
1662646943000,93,-3.0
1662646945000,89,-4.0
1662646949000,92,3.0
1662646951000,95,3.0
1662646953000,98,3.0
1662646956000,93,-5.0
1662646957000,90,-3.0
1662646963000,93,3.0
1662646983000,90,-3.0
1662646987000,93,3.0
1662646988000,96,3.0
1662646990000,101,5.0
1662646997000,96,-5.0
1662647008000,93,-3.0
1662647009000,88,-5.0
1662647010000,85,-3.0
1662647012000,79,-6.0
1662647014000,76,-3.0
1662647018000,73,-3.0
1662647025000,70,-3.0
1662647043000,67,-3.0
1662647057000,70,3.0
1662647059000,67,-3.0
1662647060000,70,3.0
1662647065000,73,3.0
1662647066000,76,3.0
1662647071000,73,-3.0
1662647076000,78,5.0
1662647079000,75,-3.0
