timestamp,heart_rate,RR_intervals
1662456385000,97,
1662456396000,100,3.0
1662456401000,103,3.0
1662456474000,106,3.0
1662456485000,109,3.0
1662456507000,112,3.0
1662456513000,115,3.0
1662456518000,118,3.0
1662456534000,115,-3.0
1662456558000,112,-3.0
1662456564000,107,-5.0
1662456565000,111,4.0
1662456579000,106,-5.0
1662456595000,109,3.0
1662456603000,106,-3.0
1662456606000,103,-3.0
1662456613000,100,-3.0
1662456647000,97,-3.0
1662456664000,100,3.0
1662456679000,103,3.0
1662456691000,104,1.0
1662456724000,101,-3.0
1662456730000,98,-3.0
1662456733000,95,-3.0
1662456736000,92,-3.0
1662456742000,95,3.0
1662456754000,98,3.0
1662456777000,101,3.0
1662456786000,97,-4.0
1662456809000,100,3.0
1662456821000,96,-4.0
1662456844000,99,3.0
1662456855000,102,3.0
1662456862000,99,-3.0
1662456871000,96,-3.0
1662456874000,92,-4.0
1662456883000,88,-4.0
1662456885000,85,-3.0
1662456939000,82,-3.0
1662456945000,79,-3.0
1662456957000,79,0.0
1662456964000,82,3.0
1662456967000,85,3.0
1662456971000,89,4.0
1662456973000,92,3.0
1662456976000,95,3.0
1662456981000,98,3.0
1662456985000,101,3.0
1662456991000,104,3.0
1662456996000,107,3.0
1662457009000,110,3.0
1662457016000,106,-4.0
1662457019000,102,-4.0
1662457047000,98,-4.0
1662457054000,95,-3.0
1662457055000,91,-4.0
1662457056000,88,-3.0
1662457059000,85,-3.0
1662457087000,82,-3.0
1662457097000,79,-3.0
1662457104000,83,4.0
1662457105000,80,-3.0
1662457117000,84,4.0
1662457119000,81,-3.0
1662457127000,85,4.0
1662457133000,88,3.0
1662457140000,91,3.0
1662457142000,94,3.0
1662457144000,97,3.0
1662457146000,100,3.0
1662457149000,103,3.0
1662457185000,100,-3.0
1662457195000,97,-3.0
1662457200000,94,-3.0
1662457204000,91,-3.0
1662457214000,88,-3.0
1662457271000,85,-3.0
1662457279000,88,3.0
1662457299000,91,3.0
1662457310000,88,-3.0
1662457349000,91,3.0
1662457385000,94,3.0
1662457393000,97,3.0
1662457404000,94,-3.0
1662457424000,91,-3.0
1662457425000,94,3.0
1662457465000,91,-3.0
1662457512000,94,3.0
1662457527000,91,-3.0
1662457541000,88,-3.0
1662457554000,85,-3.0
1662457563000,88,3.0
1662457590000,91,3.0
1662457607000,88,-3.0
1662457651000,85,-3.0
1662457675000,88,3.0
1662457728000,85,-3.0
1662457751000,82,-3.0
1662457754000,79,-3.0
1662457763000,82,3.0
1662457766000,85,3.0
1662457792000,88,3.0
1662457801000,84,-4.0
1662457835000,87,3.0
1662457859000,90,3.0
