timestamp,heart_rate,RR_intervals
1662542410000,103,
1662542418000,99,-4.0
1662542427000,94,-5.0
1662542437000,91,-3.0
1662542442000,94,3.0
1662542457000,97,3.0
1662542462000,94,-3.0
1662542464000,91,-3.0
1662542467000,95,4.0
1662542470000,98,3.0
1662542472000,95,-3.0
1662542474000,90,-5.0
1662542478000,94,4.0
1662542480000,97,3.0
1662542484000,94,-3.0
1662542494000,90,-4.0
1662542495000,90,0.0
1662542499000,94,4.0
1662542508000,89,-5.0
1662542512000,92,3.0
1662542513000,95,3.0
1662542515000,98,3.0
1662542520000,94,-4.0
1662542522000,91,-3.0
1662542524000,95,4.0
1662542527000,98,3.0
1662542533000,94,-4.0
1662542538000,98,4.0
1662542540000,103,5.0
1662542542000,107,4.0
1662542547000,101,-6.0
1662542549000,94,-7.0
1662542550000,91,-3.0
1662542552000,88,-3.0
1662542554000,93,5.0
1662542555000,93,0.0
1662542557000,97,4.0
1662542566000,94,-3.0
1662542570000,97,3.0
1662542575000,100,3.0
1662542578000,94,-6.0
1662542582000,97,3.0
1662542584000,100,3.0
1662542587000,96,-4.0
1662542592000,99,3.0
1662542598000,96,-3.0
1662542600000,93,-3.0
1662542604000,96,3.0
1662542606000,99,3.0
1662542622000,96,-3.0
1662542628000,93,-3.0
1662542640000,96,3.0
1662542643000,99,3.0
1662542645000,98,-1.0
1662542649000,95,-3.0
1662542659000,91,-4.0
1662542662000,94,3.0
1662542664000,97,3.0
1662542668000,92,-5.0
1662542671000,89,-3.0
1662542672000,83,-6.0
1662542673000,83,0.0
1662542677000,86,3.0
1662542678000,93,7.0
1662542679000,93,0.0
1662542680000,90,-3.0
1662542682000,85,-5.0
1662542686000,89,4.0
1662542687000,93,4.0
1662542692000,90,-3.0
1662542696000,96,6.0
1662542697000,100,4.0
1662542698000,100,0.0
1662542707000,97,-3.0
1662542709000,94,-3.0
1662542710000,90,-4.0
1662542712000,86,-4.0
1662542713000,83,-3.0
1662542714000,83,0.0
1662542716000,86,3.0
1662542721000,89,3.0
1662542729000,92,3.0
1662542733000,89,-3.0
1662542737000,92,3.0
1662542738000,95,3.0
1662542744000,89,-6.0
1662542746000,86,-3.0
1662542751000,89,3.0
1662542755000,92,3.0
1662542760000,95,3.0
1662542762000,92,-3.0
1662542775000,89,-3.0
1662542779000,92,3.0
1662542790000,95,3.0
1662542795000,91,-4.0
1662542798000,88,-3.0
1662542826000,91,3.0
1662542832000,94,3.0
1662542834000,97,3.0
1662542842000,94,-3.0
1662542843000,90,-4.0
1662542844000,86,-4.0
1662542845000,82,-4.0
1662542856000,79,-3.0
1662542859000,76,-3.0
1662542883000,73,-3.0
1662542897000,70,-3.0
1662542907000,73,3.0
1662542930000,77,4.0
1662542931000,80,3.0
1662542932000,86,6.0
1662542933000,90,4.0
1662542935000,94,4.0
1662542937000,97,3.0
1662542940000,100,3.0
1662542945000,96,-4.0
1662542947000,92,-4.0
1662542948000,89,-3.0
1662542954000,93,4.0
1662542956000,89,-4.0
1662542958000,82,-7.0
1662542964000,87,5.0
1662542966000,92,5.0
1662542978000,89,-3.0
1662542983000,94,5.0
1662542984000,97,3.0
1662542985000,97,0.0
1662542990000,94,-3.0
1662542996000,97,3.0
1662543001000,94,-3.0
1662543015000,91,-3.0
1662543018000,94,3.0
1662543031000,97,3.0
1662543038000,92,-5.0
1662543042000,95,3.0
1662543044000,99,4.0
1662543049000,95,-4.0
1662543052000,91,-4.0
1662543057000,94,3.0
1662543062000,91,-3.0
1662543066000,95,4.0
1662543068000,99,4.0
1662543069000,102,3.0
1662543071000,105,3.0
1662543078000,101,-4.0
1662543079000,98,-3.0
1662543080000,93,-5.0
1662543081000,86,-7.0
1662543083000,83,-3.0
1662543084000,89,6.0
1662543085000,96,7.0
1662543087000,101,5.0
1662543090000,105,4.0
1662543092000,108,3.0
1662543095000,105,-3.0
1662543096000,101,-4.0
1662543097000,96,-5.0
1662543099000,92,-4.0
1662543101000,89,-3.0
1662543104000,84,-5.0
1662543113000,87,3.0
1662543116000,91,4.0
1662543126000,88,-3.0
1662543132000,91,3.0
1662543133000,94,3.0
1662543138000,88,-6.0
1662543143000,91,3.0
1662543146000,95,4.0
1662543149000,89,-6.0
1662543151000,86,-3.0
1662543153000,81,-5.0
1662543156000,84,3.0
1662543157000,88,4.0
1662543159000,91,3.0
1662543163000,87,-4.0
1662543171000,84,-3.0
1662543173000,80,-4.0
1662543177000,84,4.0
1662543179000,87,3.0
1662543186000,84,-3.0
1662543191000,87,3.0
1662543195000,84,-3.0
1662543199000,88,4.0
1662543201000,91,3.0
1662543211000,88,-3.0
1662543226000,85,-3.0
1662543248000,89,4.0
1662543251000,93,4.0
1662543252000,96,3.0
1662543255000,93,-3.0
1662543261000,87,-6.0
1662543263000,84,-3.0
1662543266000,80,-4.0
1662543270000,76,-4.0
1662543274000,73,-3.0
1662543295000,70,-3.0
1662543310000,67,-3.0
1662543314000,70,3.0
1662543316000,77,7.0
1662543320000,73,-4.0
1662543324000,70,-3.0
1662543333000,73,3.0
1662543334000,80,7.0
1662543335000,80,0.0
1662543338000,89,9.0
1662543340000,92,3.0
1662543343000,95,3.0
1662543347000,91,-4.0
1662543349000,85,-6.0
1662543351000,82,-3.0
1662543354000,86,4.0
1662543356000,90,4.0
1662543368000,96,6.0
1662543371000,92,-4.0
1662543374000,88,-4.0
1662543375000,85,-3.0
1662543378000,78,-7.0
1662543381000,81,3.0
1662543382000,86,5.0
1662543384000,90,4.0
