timestamp,heart_rate,RR_intervals
1662625916000,126.0,
1662625917000,126.0,0.0
1662625933000,123.0,-3.0
1662625948000,120.0,-3.0
1662625957000,117.0,-3.0
1662625959000,114.0,-3.0
1662625963000,121.0,7.0
1662625965000,126.0,5.0
1662625967000,130.0,4.0
1662625969000,126.0,-4.0
1662625975000,120.0,-6.0
1662625978000,123.0,3.0
1662625982000,118.0,-5.0
1662625983000,122.0,4.0
1662625991000,118.0,-4.0
1662625997000,115.0,-3.0
1662626004000,118.0,3.0
1662626013000,121.0,3.0
1662626014000,124.0,3.0
1662626015000,127.0,3.0
1662626046000,71.0,-56.0
1662626047000,71.0,0.0
1662626058000,74.0,3.0
1662626059000,81.0,7.0
1662626060000,86.0,5.0
1662626061000,91.0,5.0
1662626062000,96.0,5.0
1662626063000,101.0,5.0
1662626064000,105.0,4.0
1662626065000,108.0,3.0
1662626066000,112.0,4.0
1662626067000,116.0,4.0
1662626072000,122.0,6.0
1662626074000,117.0,-5.0
1662626076000,114.0,-3.0
1662626079000,117.0,3.0
1662626081000,114.0,-3.0
1662626082000,110.0,-4.0
1662626083000,107.0,-3.0
1662626086000,113.0,6.0
1662626088000,116.0,3.0
1662626091000,111.0,-5.0
1662626093000,107.0,-4.0
1662626095000,100.0,-7.0
1662626096000,105.0,5.0
1662626098000,115.0,10.0
1662626099000,118.0,3.0
1662626102000,114.0,-4.0
1662626107000,117.0,3.0
1662626118000,114.0,-3.0
1662626122000,111.0,-3.0
1662626124000,107.0,-4.0
1662626128000,111.0,4.0
1662626129000,114.0,3.0
1662626131000,118.0,4.0
1662626133000,115.0,-3.0
1662626134000,112.0,-3.0
1662626137000,117.0,5.0
1662626142000,114.0,-3.0
1662626143000,111.0,-3.0
1662626144000,108.0,-3.0
1662626145000,104.0,-4.0
1662626146000,104.0,0.0
1662626148000,109.0,5.0
1662626150000,112.0,3.0
1662626154000,117.0,5.0
1662626155000,120.0,3.0
1662626165000,124.0,4.0
1662626178000,117.0,-7.0
1662626179000,118.0,1.0
1662626181000,121.0,3.0
1662626184000,117.0,-4.0
1662626185000,114.0,-3.0
1662626186000,109.0,-5.0
1662626187000,106.0,-3.0
1662626188000,101.0,-5.0
1662626189000,96.0,-5.0
1662626193000,100.0,4.0
1662626194000,106.0,6.0
1662626195000,111.0,5.0
1662626196000,114.0,3.0
1662626199000,109.0,-5.0
1662626200000,103.0,-6.0
1662626202000,100.0,-3.0
1662626205000,107.0,7.0
1662626207000,111.0,4.0
1662626211000,107.0,-4.0
1662626213000,104.0,-3.0
1662626215000,110.0,6.0
1662626217000,114.0,4.0
1662626227000,118.0,4.0
1662626232000,115.0,-3.0
1662626234000,111.0,-4.0
1662626236000,114.0,3.0
1662626238000,119.0,5.0
1662626242000,115.0,-4.0
1662626243000,112.0,-3.0
1662626244000,115.0,3.0
1662626247000,119.0,4.0
1662626250000,122.0,3.0
1662626262000,122.0,0.0
1662626263000,117.0,-5.0
1662626266000,121.0,4.0
1662626267000,121.0,0.0
1662626270000,116.0,-5.0
1662626274000,120.0,4.0
1662626278000,117.0,-3.0
1662626280000,110.0,-7.0
1662626285000,116.0,6.0
1662626288000,110.0,-6.0
1662626289000,103.0,-7.0
1662626290000,99.0,-4.0
1662626292000,94.0,-5.0
1662626293000,97.0,3.0
1662626294000,100.0,3.0
1662626296000,105.0,5.0
1662626297000,111.0,6.0
1662626301000,107.0,-4.0
1662626302000,107.0,0.0
1662626308000,111.0,4.0
1662626317000,114.0,3.0
1662626319000,119.0,5.0
1662626321000,116.0,-3.0
1662626330000,112.0,-4.0
1662626334000,116.0,4.0
1662626339000,113.0,-3.0
1662626341000,110.0,-3.0
1662626343000,107.0,-3.0
1662626345000,111.0,4.0
1662626346000,115.0,4.0
1662626348000,118.0,3.0
1662626355000,121.0,3.0
1662626356000,124.0,3.0
1662626361000,127.0,3.0
1662626369000,124.0,-3.0
1662626371000,120.0,-4.0
1662626372000,117.0,-3.0
1662626373000,113.0,-4.0
1662626374000,113.0,0.0
1662626376000,110.0,-3.0
1662626380000,113.0,3.0
1662626382000,108.0,-5.0
1662626387000,112.0,4.0
1662626391000,109.0,-3.0
1662626394000,115.0,6.0
1662626396000,120.0,5.0
1662626406000,116.0,-4.0
1662626407000,113.0,-3.0
1662626409000,116.0,3.0
1662626411000,120.0,4.0
1662626415000,124.0,4.0
1662626420000,120.0,-4.0
1662626427000,114.0,-6.0
1662626429000,108.0,-6.0
1662626431000,104.0,-4.0
1662626432000,100.0,-4.0
1662626434000,97.0,-3.0
1662626435000,94.0,-3.0
1662626436000,88.0,-6.0
1662626441000,83.0,-5.0
1662626443000,80.0,-3.0
1662626446000,84.0,4.0
1662626450000,81.0,-3.0
1662626453000,85.0,4.0
1662626457000,82.0,-3.0
1662626461000,86.0,4.0
1662626473000,79.0,-7.0
1662626477000,86.0,7.0
1662626478000,90.0,4.0
1662626482000,83.0,-7.0
1662626483000,79.0,-4.0
1662626488000,84.0,5.0
1662626496000,80.0,-4.0
1662626501000,84.0,4.0
1662626503000,88.0,4.0
1662626521000,99.0,11.0
1662626522000,105.0,6.0
1662626523000,110.0,5.0
1662626524000,113.0,3.0
1662626526000,117.0,4.0
1662626530000,119.0,2.0
1662626541000,115.0,-4.0
1662626560000,119.0,4.0
1662626561000,124.0,5.0
1662626562000,127.0,3.0
1662626564000,121.0,-6.0
1662626566000,116.0,-5.0
1662626568000,113.0,-3.0
1662626574000,110.0,-3.0
1662626578000,113.0,3.0
1662626584000,116.0,3.0
1662626586000,119.0,3.0
1662626598000,122.0,3.0
1662626600000,125.0,3.0
1662626601000,122.0,-3.0
1662626603000,119.0,-3.0
1662626608000,114.0,-5.0
1662626612000,109.0,-5.0
1662626621000,106.0,-3.0
1662626625000,112.0,6.0
1662626626000,115.0,3.0
1662626627000,118.0,3.0
1662626632000,112.0,-6.0
1662626633000,108.0,-4.0
1662626634000,108.0,0.0
1662626637000,113.0,5.0
1662626639000,117.0,4.0
1662626642000,120.0,3.0
1662626664000,71.0,-49.0
1662626672000,76.0,5.0
1662626673000,80.0,4.0
1662626675000,86.0,6.0
1662626679000,83.0,-3.0
1662626680000,78.0,-5.0
1662626690000,74.0,-4.0
1662626694000,78.0,4.0
1662626695000,82.0,4.0
1662626696000,82.0,0.0
1662626698000,77.0,-5.0
1662626699000,77.0,0.0
1662626710000,80.0,3.0
1662626719000,84.0,4.0
1662626721000,88.0,4.0
1662626777000,91.0,3.0
1662626780000,94.0,3.0
1662626785000,98.0,4.0
1662626793000,101.0,3.0
1662626819000,104.0,3.0
1662626830000,107.0,3.0
1662626844000,111.0,4.0
1662626882000,108.0,-3.0
1662626887000,105.0,-3.0
1662626900000,102.0,-3.0
1662627031000,71.0,-31.0
1662627032000,71.0,0.0
1662627036000,75.0,4.0
1662627037000,79.0,4.0
1662627038000,82.0,3.0
1662627040000,86.0,4.0
1662627041000,90.0,4.0
1662627042000,94.0,4.0
1662627043000,100.0,6.0
1662627044000,105.0,5.0
1662627050000,101.0,-4.0
1662627051000,94.0,-7.0
1662627052000,96.0,2.0
1662627063000,92.0,-4.0
1662627067000,97.0,5.0
1662627068000,100.0,3.0
1662627070000,97.0,-3.0
1662627072000,93.0,-4.0
1662627074000,90.0,-3.0
1662627077000,93.0,3.0
1662627085000,96.0,3.0
1662627094000,99.0,3.0
1662627096000,103.0,4.0
1662627097000,106.0,3.0
1662627100000,100.0,-6.0
1662627109000,103.0,3.0
1662627120000,100.0,-3.0
1662627122000,97.0,-3.0
1662627124000,92.0,-5.0
1662627126000,88.0,-4.0
1662627129000,91.0,3.0
1662627130000,95.0,4.0
1662627145000,99.0,4.0
1662627151000,95.0,-4.0
1662627154000,101.0,6.0
1662627156000,104.0,3.0
1662627159000,101.0,-3.0
1662627163000,98.0,-3.0
1662627165000,95.0,-3.0
1662627166000,98.0,3.0
1662627168000,101.0,3.0
1662627171000,105.0,4.0
1662627173000,109.0,4.0
1662627176000,106.0,-3.0
1662627178000,101.0,-5.0
1662627180000,96.0,-5.0
1662627181000,96.0,0.0
1662627185000,92.0,-4.0
1662627191000,96.0,4.0
1662627192000,99.0,3.0
1662627197000,95.0,-4.0
1662627199000,88.0,-7.0
1662627202000,91.0,3.0
1662627204000,87.0,-4.0
1662627208000,93.0,6.0
1662627209000,93.0,0.0
1662627215000,96.0,3.0
1662627222000,93.0,-3.0
1662627228000,88.0,-5.0
1662627232000,91.0,3.0
1662627235000,95.0,4.0
1662627237000,102.0,7.0
1662627246000,96.0,-6.0
1662627247000,92.0,-4.0
1662627248000,89.0,-3.0
1662627251000,85.0,-4.0
1662627257000,88.0,3.0
1662627259000,85.0,-3.0
