timestamp,heart_rate,RR_intervals
1662560227000,98,
1662560228000,96,-2.0
1662560230000,93,-3.0
1662560232000,97,4.0
1662560235000,104,7.0
1662560237000,108,4.0
1662560239000,104,-4.0
1662560240000,100,-4.0
1662560241000,96,-4.0
1662560242000,93,-3.0
1662560245000,97,4.0
1662560247000,100,3.0
1662560248000,103,3.0
1662560250000,111,8.0
1662560257000,114,3.0
1662560263000,111,-3.0
1662560265000,108,-3.0
1662560266000,103,-5.0
1662560268000,99,-4.0
1662560270000,103,4.0
1662560288000,99,-4.0
1662560295000,102,3.0
1662560298000,94,-8.0
1662560299000,90,-4.0
1662560302000,94,4.0
1662560303000,99,5.0
1662560308000,96,-3.0
1662560316000,92,-4.0
1662560321000,89,-3.0
1662560326000,86,-3.0
1662560328000,91,5.0
1662560329000,96,5.0
1662560330000,95,-1.0
1662560335000,99,4.0
1662560336000,103,4.0
1662560339000,106,3.0
1662560340000,103,-3.0
1662560343000,100,-3.0
1662560352000,97,-3.0
1662560354000,94,-3.0
1662560357000,89,-5.0
1662560358000,84,-5.0
1662560365000,79,-5.0
1662560366000,75,-4.0
1662560367000,75,0.0
1662560369000,72,-3.0
1662560371000,69,-3.0
1662560382000,66,-3.0
1662560384000,71,5.0
1662560389000,75,4.0
1662560390000,78,3.0
1662560393000,75,-3.0
1662560397000,79,4.0
1662560400000,75,-4.0
1662560402000,79,4.0
1662560405000,75,-4.0
1662560406000,72,-3.0
1662560411000,75,3.0
1662560416000,71,-4.0
1662560418000,68,-3.0
1662560419000,73,5.0
1662560427000,80,7.0
1662560428000,83,3.0
1662560429000,87,4.0
1662560430000,87,0.0
1662560432000,84,-3.0
1662560434000,78,-6.0
1662560436000,82,4.0
1662560438000,85,3.0
1662560441000,91,6.0
1662560444000,95,4.0
1662560445000,102,7.0
1662560446000,106,4.0
1662560451000,110,4.0
1662560453000,107,-3.0
1662560455000,98,-9.0
1662560456000,95,-3.0
1662560458000,98,3.0
1662560459000,102,4.0
1662560460000,102,0.0
1662560466000,94,-8.0
1662560471000,97,3.0
1662560475000,92,-5.0
1662560479000,97,5.0
1662560482000,92,-5.0
1662560484000,89,-3.0
1662560486000,85,-4.0
1662560493000,84,-1.0
1662560501000,87,3.0
1662560504000,84,-3.0
1662560506000,81,-3.0
1662560509000,84,3.0
1662560511000,88,4.0
1662560515000,82,-6.0
1662560516000,78,-4.0
1662560518000,75,-3.0
1662560519000,79,4.0
1662560521000,83,4.0
1662560522000,80,-3.0
1662560523000,73,-7.0
1662560526000,78,5.0
1662560532000,85,7.0
1662560536000,82,-3.0
1662560537000,79,-3.0
1662560538000,79,0.0
1662560540000,83,4.0
1662560545000,86,3.0
1662560548000,83,-3.0
1662560551000,80,-3.0
1662560553000,84,4.0
1662560559000,81,-3.0
1662560566000,84,3.0
1662560569000,81,-3.0
1662560571000,78,-3.0
1662560575000,81,3.0
1662560576000,85,4.0
1662560580000,82,-3.0
1662560582000,87,5.0
1662560583000,92,5.0
1662560588000,95,3.0
1662560591000,99,4.0
1662560592000,102,3.0
1662560593000,102,0.0
1662560595000,96,-6.0
1662560596000,93,-3.0
1662560602000,96,3.0
1662560603000,93,-3.0
1662560605000,88,-5.0
1662560606000,82,-6.0
1662560608000,79,-3.0
1662560611000,76,-3.0
1662560615000,73,-3.0
1662560617000,78,5.0
1662560620000,81,3.0
1662560622000,77,-4.0
1662560623000,74,-3.0
1662560625000,71,-3.0
1662560627000,75,4.0
1662560640000,81,6.0
1662560642000,85,4.0
1662560644000,89,4.0
1662560646000,94,5.0
1662560648000,102,8.0
1662560649000,102,0.0
1662560652000,105,3.0
1662560655000,102,-3.0
1662560656000,99,-3.0
1662560664000,95,-4.0
1662560667000,89,-6.0
1662560671000,86,-3.0
1662560672000,89,3.0
1662560676000,93,4.0
1662560679000,87,-6.0
1662560680000,84,-3.0
1662560686000,89,5.0
1662560689000,85,-4.0
1662560690000,82,-3.0
1662560694000,79,-3.0
1662560698000,84,5.0
1662560704000,81,-3.0
1662560712000,85,4.0
1662560715000,80,-5.0
1662560720000,84,4.0
1662560723000,87,3.0
1662560726000,90,3.0
1662560728000,97,7.0
1662560729000,102,5.0
1662560733000,99,-3.0
1662560734000,96,-3.0
1662560735000,90,-6.0
1662560736000,91,1.0
1662560738000,94,3.0
1662560744000,90,-4.0
1662560746000,87,-3.0
1662560747000,83,-4.0
1662560749000,79,-4.0
1662560751000,76,-3.0
1662560760000,79,3.0
1662560763000,75,-4.0
1662560765000,71,-4.0
1662560769000,68,-3.0
1662560771000,72,4.0
1662560773000,78,6.0
1662560777000,73,-5.0
1662560783000,76,3.0
1662560785000,82,6.0
1662560787000,88,6.0
1662560788000,88,0.0
1662560791000,83,-5.0
1662560792000,78,-5.0
1662560799000,75,-3.0
1662560811000,78,3.0
1662560813000,75,-3.0
1662560816000,72,-3.0
1662560822000,75,3.0
1662560832000,78,3.0
1662560838000,75,-3.0
1662560839000,72,-3.0
1662560840000,72,0.0
1662560844000,79,7.0
1662560846000,83,4.0
1662560848000,86,3.0
1662560849000,83,-3.0
1662560851000,80,-3.0
1662560853000,75,-5.0
1662560854000,75,0.0
1662560856000,78,3.0
1662560857000,82,4.0
1662560861000,78,-4.0
1662560873000,75,-3.0
1662560884000,80,5.0
1662560885000,80,0.0
1662560888000,83,3.0
1662560892000,86,3.0
1662560894000,78,-8.0
1662560901000,81,3.0
1662560907000,86,5.0
1662560910000,83,-3.0
1662560911000,79,-4.0
1662560914000,84,5.0
1662560915000,87,3.0
1662560917000,90,3.0
1662560921000,86,-4.0
1662560923000,81,-5.0
1662560926000,78,-3.0
1662560928000,83,5.0
1662560931000,78,-5.0
1662560932000,78,0.0
1662560935000,82,4.0
1662560937000,85,3.0
1662560941000,81,-4.0
1662560942000,77,-4.0
1662560953000,80,3.0
1662560954000,80,0.0
1662560961000,86,6.0
1662560963000,83,-3.0
1662560964000,76,-7.0
1662560968000,79,3.0
1662560977000,82,3.0
