Timestamp,x,y,z,Distance,Speed,a,b,c,Angle Change,Angular Speed,Car Dist 1,Car Dist 2,Car Dist 3,Car Dist 4,Heart Rate
1662560223926,48.2,0.3,23.8,,,0.0,0.0,0.0,,,46.44923039787252,51.99420156829012,56.7214413703266,57.96493323811949,
1662560224613,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.260808446504969,11.342285708905894,14.020837948160679,22.328145652613824,
1662560225614,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375138328872856,10.888742069112833,13.629487196618477,22.175591788314357,
1662560226616,13.6,1.9,-14.1,0.09999999999999964,0.09980039920159645,0.0,0.0,0.0,0.0,0.0,8.64782994663959,10.247628787091863,13.089255695666324,22.120835146128524,
1662560227617,13.6,1.9,-14.2,0.09999999999999964,0.09990009990009956,0.0,0.0,0.0,0.0,0.0,9.317791905857923,9.36816214180156,12.370788855902697,22.173156476381262,96.86518339395043
1662560228618,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736387218219217,10.42781386828218,11.798787058533017,22.17157013372945,94.5906126272149
1662560229618,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27756841943103,11.597495220508666,12.094183100134956,21.70028986231793,93.07181759676487
1662560230618,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.337221649081876,11.615163714844348,14.342246730778264,20.179914635341017,93.65984518148215
1662560231617,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.248351040148846,11.615235047063642,17.152994296147973,19.550576180502784,95.98693950065287
1662560232617,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12867084310343,11.615230258386218,19.497843156346224,20.50483749410736,98.51104204813373
1662560233616,13.6,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.615228333095413,13.881986448852874,19.18558987742116,20.63094158688177,100.74945581787318
1662560234616,13.5,1.9,-14.2,0.09999999999999964,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,11.51553626111146,17.315235348483903,18.538950895978992,19.787534844297543,103.03612294255602
1662560235614,13.5,1.9,-14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.528087259008178,17.771970980863284,19.099605124459305,21.401514210698174,105.63233128644522
1662560236612,13.6,1.9,-14.1,0.141421356237309,0.1417047657688467,0.0,0.0,0.0,0.0,0.0,11.683390601511157,16.9422427867304,18.753775402469458,22.734673607738003,107.69769766921321
1662560237612,13.5,1.9,-13.9,0.22360679774997816,0.22360679774997816,0.0,0.0,0.0,0.0,0.0,11.735246708436453,15.958809773339498,18.10156047472258,18.735442536842587,107.66042719811865
1662560238611,13.5,1.9,-13.3,0.5999999999999996,0.6006006006006003,0.0,0.0,0.0,0.0,0.0,11.97668573020267,14.588829888161484,15.345507315385754,19.732427460375963,105.33663388507782
1662560239610,13.3,1.9,-12.8,0.5385164807134502,0.5390555362496998,0.0,0.0,0.0,0.0,0.0,12.321102801252874,12.559976815069119,15.314243627570226,19.42244132820448,101.61045168556184
1662560240612,13.0,1.9,-12.2,0.6708203932499385,0.6694814303891602,0.0,0.0,0.0,0.0,0.0,11.39761996745478,12.946767780251049,16.026181785824157,16.28410992686477,97.51009541075197
1662560241612,12.7,1.9,-11.6,0.6708203932499369,0.6708203932499369,0.0,0.0,0.0,0.0,0.0,10.766091171699225,14.112669170620398,14.546574022784059,18.48588241967702,93.89857651687839
1662560242613,12.3,1.9,-11.1,0.640312423743284,0.6396727509922918,0.0,0.0,0.0,0.0,0.0,10.397084858798499,14.812375451101387,15.904030069093048,21.680226331615387,92.59992969384307
1662560243612,12.1,1.9,-10.7,0.4472135954999587,0.4476612567567154,0.0,0.0,0.0,0.0,0.0,10.96794340100221,16.767066350490058,18.570063173078328,22.86389277351377,93.91500142902684
1662560244613,11.6,1.9,-10.4,0.5830951894845295,0.5825126768077219,0.0,0.0,0.0,0.0,0.0,12.307592295131997,15.751326586610462,19.703201178497263,20.81311815459124,96.21018188097042
1662560245612,11.2,1.9,-10.2,0.4472135954999587,0.4476612567567154,0.0,0.0,0.0,0.0,0.0,11.456568456758028,14.8505030146439,15.910086901554752,16.717733173318354,97.9187701707099
1662560246613,11.0,1.9,-10.0,0.282842712474618,0.28256015232229575,0.0,0.0,0.0,0.0,0.0,10.146692374813352,11.686346255914378,13.000580958098896,18.19568674941492,99.25769399654308
1662560247612,11.0,1.9,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73961379888631,10.136415517827094,13.487609982693494,16.263170097830194,101.66506740694363
1662560248613,10.3,1.9,-9.8,0.7280109889280509,0.7272837052228281,0.0,0.0,0.0,0.0,0.0,7.074761718566923,9.618685970748317,14.974608350286998,15.257429913026675,105.42683055742769
1662560249613,9.6,1.9,-9.5,0.7615773105863921,0.7615773105863921,0.0,0.0,0.0,0.0,0.0,6.613795919615678,9.183666301318548,13.19875257603446,14.05274906077539,109.56558049670792
1662560250612,9.8,1.9,-9.5,0.20000000000000107,0.20020020020020127,0.0,0.0,0.0,0.0,0.0,6.435017041151018,9.349171930665603,13.365545859064655,13.64993916312389,112.87604626268877
1662560251612,10.3,1.9,-9.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,6.253713531051853,9.733856313898421,13.499141727257365,13.800197336402965,114.96325999336071
