Timestamp,x,y,z,Distance,Speed,a,b,c,Angle Change,Angular Speed,Car Dist 1,Car Dist 2,Car Dist 3,Car Dist 4,Heart Rate
1662453264846,48.4,0.3,23.7,,,0.0,0.0,0.0,,,50.041849806447665,50.45748129425028,50.84145780211573,52.80083893169237,106.65326416073145
1662453265535,9.9,1.3,-13.5,0.0,0.0,73.6,39.9,6.8,0.0,0.0,15.055637538231498,16.894656740935545,22.796769076115087,23.126089777137015,106.7062778595159
1662453266538,9.8,1.2,-13.9,0.4123105625617663,0.4110773305700562,78.7,318.1,348.4,86.89999999999996,86.64007976071782,12.335080273711707,14.640784689381407,21.233105444831573,21.2612179108036,106.68117311397005
1662453267525,9.4,1.3,-14.5,0.7211102550927978,0.730608161188245,81.4,310.9,307.3,9.900000000000048,10.030395136778164,7.962452048435743,11.070399632106483,17.90530991819731,18.611430253076232,106.55025355867946
1662453268527,9.6,1.2,-15.4,0.9219544457292889,0.9201142172946994,80.3,297.0,318.6,14.999999999999986,14.970059880239507,4.281348180536064,7.96476786685786,13.374817922597826,15.705766226512836,106.32334685751873
1662453269530,10.0,1.1,-15.7,0.4999999999999996,0.49850448654037854,68.2,263.4,326.1,45.70000000000002,45.56331006979065,8.583917188990648,8.671632655897016,9.039412599219265,12.6148032354836,106.01526803119589
1662453270533,9.9,1.0,-15.4,0.3162277660168368,0.3152819202560686,70.6,289.3,356.3,28.300000000000026,28.215353938185473,4.7058485797312635,8.855131210490041,11.75828113025267,13.816175649648155,105.64018699638483
1662453271521,9.6,1.1,-15.1,0.4242640687119295,0.42941707359507036,70.4,306.0,321.2,16.899999999999977,17.105263157894715,7.205522037613683,7.903618077584739,13.067571833469579,14.45291108747608,105.21881676006583
1662453272523,9.4,1.1,-14.6,0.5385164807134502,0.5374415975184134,63.0,314.7,315.1,16.099999999999994,16.06786427145708,11.101765112197233,11.434069174530324,13.919281787372688,14.474503088263997,104.7527642583329
1662453273526,10.0,1.3,-14.3,0.6708203932499361,0.668813951395749,71.2,10.5,11.8,64.00000000000001,63.80857427716852,13.65088569010802,14.285786755336655,16.262875708434972,17.66459959782276,104.26344244173238
1662453274529,10.6,1.3,-14.5,0.6324555320336753,0.630563840512139,72.2,22.0,3.7,12.5,12.462612163509473,12.447679105968856,14.172670746613134,15.82878105518586,18.17749773870757,103.76972362024061
1662453275530,10.7,1.4,-15.0,0.5099019513592784,0.509392558800478,76.6,60.4,9.4,42.79999999999999,42.75724275724275,9.207636352301124,12.96515285616508,16.111703752565244,16.525164287382594,103.2910446964191
1662453276533,10.6,1.5,-15.2,0.22360679774997816,0.22293798379858243,82.5,251.6,170.2,174.7,174.1774675972084,10.013083122596527,13.191897133792438,15.884980609876845,19.100547147824763,102.8439689846374
1662453277537,10.6,1.9,-15.3,0.10000000000000142,0.09960159362549942,77.6,103.3,13.8,153.20000000000002,152.58964143426297,12.342858637364284,15.600329720966522,15.733120807496954,18.45326858371481,102.44761678485784
1662453278541,10.6,1.9,-15.2,0.10000000000000142,0.09960159362549942,37.5,83.6,8.9,59.8,59.56175298804781,9.780659066575678,14.340420464210403,14.56146149903127,22.438708124897378,102.12101543541583
1662453279536,10.6,1.9,-15.2,0.0,0.0,32.2,78.7,359.7,10.199999999999989,10.251256281407024,5.4884896818703615,12.312030748625636,18.709387673066033,29.7972981733083,101.88358454410697
1662453280524,10.6,2.0,-15.2,0.0,0.0,20.3,72.4,358.9,18.2,18.421052631578945,7.334925405022807,13.313989028749639,24.254991886383614,37.34474858205261,101.73402316937054
1662453281523,10.6,2.0,-15.1,0.09999999999999964,0.10010010010009975,30.7,39.0,358.8,43.800000000000004,43.84384384384385,12.830459562495449,16.972324080766473,30.102766550943134,41.78554013470696,101.65678093201697
1662453282527,10.6,2.0,-15.1,0.0,0.0,30.8,52.1,0.7,13.200000000000003,13.14741035856574,19.12195171596742,21.89316753559213,33.51640256644856,36.356132746788234,101.64000541775579
1662453283529,10.6,2.0,-15.1,0.0,0.0,31.5,53.8,1.1,2.399999999999995,2.3952095808383183,25.61341722579772,27.67190110696319,27.84109053422863,30.022267582050613,101.66992743422809
1662453284532,10.6,1.9,-15.1,0.0,0.0,32.8,53.8,0.5,1.2999999999999972,1.2961116650049824,22.882137750179396,25.49999605407186,31.176634889277523,32.182268558945154,101.73238184246604
1662453285535,10.6,2.0,-15.1,0.0,0.0,32.0,57.1,0.9,4.100000000000001,4.0877367896311085,15.884880100169415,24.46560414959333,25.02396168487562,30.784737546499716,101.81316776328005
1662453286523,10.6,2.0,-15.2,0.09999999999999964,0.10121457489878506,31.5,58.9,0.9,2.299999999999997,2.3279352226720618,9.31599846410327,18.026292147536495,25.107711990844386,27.90551115519175,101.89686185776429
1662453287527,10.6,1.9,-15.2,0.0,0.0,33.3,59.7,359.8,2.6000000000000014,2.5896414342629495,5.566157613223516,12.2027813799395,23.36335443546968,25.10447564937983,101.9720551095964
1662453288526,10.6,1.9,-15.2,0.0,0.0,34.3,61.2,0.3,2.5,2.5025025025025025,5.365287292746391,8.94981442112913,15.99056780528693,25.100813980545396,102.02335623634032
1662453289527,10.6,2.0,-15.2,0.0,0.0,31.5,66.0,0.3,7.599999999999994,7.592407592407588,5.578487585484223,8.607200167992975,10.853984691304579,25.09881866958153,102.04514724609187
1662453290530,10.6,2.0,-15.2,0.0,0.0,12.0,90.9,358.0,44.400000000000006,44.26719840478565,5.580322496453965,8.21563466571407,8.78260126554089,25.095021237461886,102.03831498641284
1662453291533,10.8,2.0,-15.3,0.22360679774998055,0.22293798379858482,11.0,73.5,357.5,18.400000000000006,18.34496510468595,5.803064498752694,7.654899382058585,9.001078055910913,25.276723790204912,102.00412810502885
1662453292536,11.4,2.0,-15.7,0.7211102550927968,0.7189533949080726,6.9,132.4,3.6,63.00000000000001,62.81156530408775,6.507433513183621,7.905396569689805,9.679485141407211,18.45659843543222,101.94392828951837
1662453293524,11.5,2.0,-15.9,0.22360679774997974,0.2263226697874289,12.5,92.5,0.8,45.50000000000001,46.05263157894738,6.678264338958832,7.830111338197089,9.829224192326008,13.399079218198262,101.8605016685034
1662453294534,11.7,2.0,-15.7,0.2828427124746193,0.280042289578831,15.3,317.2,360.0,138.10000000000002,136.73267326732676,6.79083113920966,8.115225590334122,9.972769089432147,11.5289962533833,101.75180839481595
1662453295527,11.7,2.0,-15.7,0.0,0.0,21.3,274.8,353.7,48.39999999999998,48.74118831822757,6.792594305188662,8.111645386913283,9.97328609979508,10.904983096407701,101.62319044462714
1662453296530,11.8,2.0,-15.9,0.22360679774998055,0.22293798379858482,14.6,169.8,356.3,111.7,111.36590229312066,6.959822521964664,8.065590112940905,10.121375852408136,10.948169233257598,101.47271446512872
1662453297533,11.6,2.0,-15.8,0.22360679774997974,0.222937983798584,20.3,269.6,358.6,105.50000000000001,105.18444666001997,6.738641221521117,7.96790992731242,9.903072722196992,10.802579817091672,101.30290991125409
1662453298520,10.8,2.0,-15.9,0.8062257748298539,0.8168447566665187,15.4,220.6,356.3,53.90000000000003,54.60992907801421,6.049319864294682,7.290245456273082,9.162014531735363,10.052659773854701,101.11824835827333
1662453299524,10.8,2.0,-15.9,0.0,0.0,17.5,250.0,357.2,31.500000000000007,31.37450199203188,6.0507110503267265,7.2868607190408925,9.163209793815364,10.050663603470896,100.9138552732711
