Timestamp,x,y,z,Distance,Speed,a,b,c,Angle Change,Angular Speed,Car Dist 1,Car Dist 2,Car Dist 3,Car Dist 4,Heart Rate
1662646406004,11.4,1.5,-12.6,,,80.5,24.2,358.1,,,9.032374532241368,11.115879168008819,18.207358267822308,25.348645515583602,99.91064866455476
1662646406696,11.4,1.8,-12.5,0.09999999999999964,0.1445086705202307,79.4,66.3,11.8,43.19999999999999,62.427745664739874,8.657390458294246,11.16896533965131,18.137031791885597,24.808773105579554,99.52965804484082
1662646407709,11.4,1.9,-12.5,0.0,0.0,78.7,65.5,28.1,1.5,1.480750246791708,8.658620701408935,11.167495185879499,18.137276832945926,23.478073455470973,98.79070122110393
1662646408697,11.2,1.6,-12.4,0.22360679774997974,0.2263226697874289,80.9,309.9,345.6,117.80000000000003,119.23076923076925,8.591190899057917,11.05208445461085,17.923670046466405,21.326583219396408,97.98130717767116
1662646409709,11.2,1.6,-12.5,0.09999999999999964,0.09881422924901151,85.8,327.6,359.9,22.600000000000037,22.332015810276715,8.51831002471107,10.996076791872719,17.993087983661855,20.412093957309622,97.19751815929912
1662646410709,11.2,1.6,-12.5,0.0,0.0,85.6,328.6,356.5,1.2000000000000028,1.2000000000000028,8.518286655888545,10.993741068478695,17.991632836895445,20.069338658215827,96.59359491143309
1662646411696,11.2,1.6,-12.5,0.0,0.0,85.6,319.2,345.6,9.400000000000034,9.52380952380956,8.517916864687608,10.992576353772389,17.282381367040706,17.9918698994734,96.19754859824725
1662646412707,11.2,1.6,-12.5,0.0,0.0,84.6,326.1,345.8,7.900000000000034,7.8140454995054744,8.517532024783058,10.991101684957735,16.510401948076733,17.95191830303406,95.9792636562184
1662646413708,11.2,1.6,-12.4,0.09999999999999964,0.09990009990009956,84.0,1.9,26.6,36.39999999999995,36.36363636363632,8.58972693508391,11.044375412825678,15.722860237874768,16.591239354044525,95.93075557102392
1662646414706,11.2,1.5,-12.4,0.0,0.0,85.2,4.9,27.2,4.200000000000003,4.2084168336673375,8.589342374072057,11.042886250804441,15.378459850774638,16.588194823083413,96.02931962783511
